RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1859.6362625844724,1873.0176007846662,1891.3970142908468,1905.9000966787885,1922.2792712448613,1933.7877823905324,1948.6183405520953,1959.0776197883483,1971.015558928445,1976.888618173138,1984.063442600085,1991.403710795432,2002.6043717744074,2017.7331822083872,2033.1294644230716,2047.6197609466801,2058.4344364800645,2069.2823622766514,2078.160146345795,2088.1599786673864,2095.178035760661,2097.9474158202224,2095.5620059330486,2094.0825139130548,2112.4226265845123,2132.4471007291795,2159.238391199219,2170.7786385222257,2186.559216442693,2196.585609862249,2207.2640186435065,2214.0736896063977,2220.6000892413335,2224.0252152587686,2228.019930369074,2232.5101935293014,2241.882128292941,2255.3432628134415,2267.826740454895,2280.7525322638144,2292.058613445733,2305.9463847664633,2317.591679695029,2328.3325563726976,2334.346460530892,2339.5838679899502,2345.569107071089,2350.7646369817408,2357.3211046858087,2361.041729142332,2374.5581074791744,2386.628475890769,2400.553673572048,2411.3246102323806,2420.0896756832612,2426.6795521382505,2429.6144318783504,2430.6727376288914,2432.1777523997916,2435.9921136436474,2443.703289120015,2448.5253385413434,2449.148633463427,2438.007266830892,2427.488396486938,2419.3277568196704,2419.2376022129306,2418.1357764649592,2414.7268803987,2413.09728432207,2413.7435277795116,2411.382712291056,2409.8902171460177,2411.9234797370746,2422.3804698605923,2436.678469018428,2458.354399687414,2491.780333234305,2532.4796702422773,2577.870511556388,2612.458681541099,2639.244009167946,2653.918199230973,2672.8227145234814,2692.586211991798,2718.9468738417554,2744.2215376889258,2772.1622884430185,2800.5092511057987,2825.069791225575,2848.312301274081,2868.832818995052,2881.98930927035,2884.685434486808,2878.9345492447196,2875.0260524194046,2871.0830853527546,2877.81406490119,2884.805738311344,2898.603155730728,2902.6373310901413,2911.9229267376,2918.754134314035
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1509.5197991847938,1519.8918920934343,1532.1902229656873,1543.04927936641,1555.065099656374,1565.2289852110598,1571.8576983358212,1574.7289187233448,1568.5342700222445,1559.2820556342892,1550.062223773523,1549.6075292384958,1559.8541771730884,1571.5812294441866,1584.813833002869,1593.3952632201942,1603.9390933289715,1615.5318358182149,1623.9161344093698,1628.6147868278922,1620.8212765533704,1604.6745410770498,1583.1350841993728,1570.6228132115937,1580.8554443008363,1601.9625439380827,1625.907644538033,1637.9597765944334,1649.5107053087559,1655.887197677127,1658.1028418052322,1652.810944041571,1644.2467364214974,1631.0931326205912,1621.2069956299667,1619.4868058018544,1629.070047863181,1643.198962928519,1656.0799291750245,1667.42857338794,1678.4180409280154,1688.4491284749747,1693.1459350373748,1689.3729332920518,1676.364027407713,1662.7590620466876,1654.596100167293,1655.0038543139838,1664.2859489147736,1676.3281930594803,1694.2656967991,1709.2158353205446,1721.8762313233035,1730.1518955113452,1733.8878974628012,1735.823908014763,1730.2308121405767,1721.0973820901347,1711.0370525873616,1705.0207046837043,1715.2553133728036,1727.8824398703114,1742.764011050102,1742.1008447979734,1739.4858522753473,1735.6346483772093,1733.0036315239643,1723.4626565067801,1703.8306715371727,1677.9476993218507,1656.256965297044,1645.0253537319193,1641.0762927645933,1649.6820468832595,1669.692890439694,1702.3534633746,1734.0834069999128,1760.9199870630505,1779.3773375039584,1791.3631800075382,1794.7459441678236,1795.1986734087918,1792.807984428043,1799.5122389849107,1814.179381979888,1835.2739477594382,1858.7681995051746,1882.6524348710784,1908.7022766898835,1929.78143725018,1947.323786006129,1952.907973364805,1953.6444105578385,1953.0339342537895,1948.209458660813,1951.1352979239125,1957.0049022122137,1971.3124353973747,1985.335169212739,2003.4149644031745,2029.555166121667,2052.142637899292,2065.170018775696
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1244.9720092499433,1248.3431339100282,1254.524794160591,1266.5528327249947,1277.2662799553586,1287.155732605263,1287.95283571484,1288.7133413433764,1283.6753137040746,1280.100970491439,1276.9476869456169,1277.3162658282308,1278.7632124999893,1280.2062522493845,1285.8666170427068,1291.1841468361545,1295.2571543030826,1294.2253363524424,1291.3989484047847,1286.1869442519778,1279.0979009996572,1269.0712309305495,1258.9035445443242,1251.9101931875787,1260.1754312072076,1274.0557319402503,1289.643880573514,1293.3924249206166,1301.0149491475813,1301.49130037347,1302.8085413170954,1298.123916927546,1305.634278113441,1314.58139033954,1326.6727366213888,1335.3527006740592,1336.782499942756,1342.008321839389,1341.1017749635412,1350.2842443209843,1352.1574320110517,1358.0017811468283,1357.262506878909,1356.1530216741132,1352.0160744012333,1350.1092824439977,1352.2514559983058,1351.9453706793113,1352.760972862466,1349.7661889763058,1355.5555019936485,1361.5598094271827,1372.0328891397623,1379.3413947947429,1383.3675835676022,1382.4633229227547,1378.9644744321045,1377.9157244394114,1377.486669142512,1380.812717666865,1384.3120517108077,1391.1547655267152,1397.1702333341557,1392.9213990362948,1385.1282923158751,1377.5093241845025,1380.7297584103278,1384.3041613597572,1385.3276287439053,1386.4912309707888,1389.6201437458922,1389.4451159605273,1388.8909256663471,1384.083300341854,1389.3321330839487,1401.5726042618735,1424.5198097777275,1452.0547723822306,1477.4188764810606,1500.1402460939821,1514.072777493276,1522.7306928342646,1527.870786371809,1531.9469806357288,1539.7241995879024,1549.042161996998,1559.6337311290456,1569.3453803697764,1579.3122600969714,1593.0615557758329,1604.9688232575734,1612.849658097122,1610.3954921836753,1605.8903052788667,1604.357134277206,1603.2655566230717,1612.486920762315,1618.6110452619757,1628.0980298347897,1630.1572239630855,1638.5588818715512,1648.5402804255582,1655.3182454656137
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,1001.2145343651733,1017.7661560133541,1026.0364530374263,1039.0876360990999,1038.8030614504903,1046.4378007019657,1046.5590529283886,1048.1004237601799,1051.679788500024,1054.7351192580593,1058.2732450382255,1060.274211052208,1066.2994474622446,1071.9751202062564,1080.0944559119534,1094.1151047842882,1103.8763081945208,1111.7990458255495,1108.8846225118414,1109.179966882073,1109.895506800676,1110.8187962284153,1112.5116495401478,1112.7424942079745,1117.7087924193781,1125.5595368914253,1137.163060996644,1148.0145014853777,1158.868764973056,1166.421481948606,1171.8630799184123,1174.4370994988005,1176.6108588115908,1180.4028409493487,1183.342684836172,1185.9896688884105,1188.763729932144,1196.5464440284757,1209.8109407891295,1224.456876700661,1235.8024863177143,1244.3309429905792,1252.0476931187782,1258.2527143158397,1263.6389018717848,1267.8115854022271,1273.6002587782812,1280.0846589445682,1284.9135034105043,1294.1514235418128,1305.1267237944742,1321.1157009778801,1333.585503984445,1345.4356852956164,1355.396143253357,1364.0945204619914,1369.981014085541,1373.1961144739641,1378.8766134821333,1386.1532672267947,1396.5129301636432,1406.3190630840702,1412.5530611225531,1411.7073144877986,1408.7908914163017,1411.285238725363,1424.5882745341814,1444.710332492695,1463.3289832634619,1480.5555598574767,1494.8154111861961,1505.862686368647,1518.3339292729,1530.4183460196916,1554.3286822275597,1585.5559795845672,1632.3984622584692,1685.4867738261853,1741.0664699416793,1788.7984550189717,1823.8559632116765,1847.223427384217,1862.8992832814897,1873.1736244928052,1883.5936717231596,1893.5747452584599,1909.4364394546592,1922.7110149575303,1934.8708429079022,1942.5190483068434,1949.7039640070761,1949.5870764260515,1945.5943908851962,1937.0260710750606,1927.5139242267364,1918.3445707219087,1913.1161419127307,1917.4156515783109,1930.233483509892,1939.6472812273234,1945.6763803201998,1945.808055846469,1948.8808521486708
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1797.9968490663066,1808.5256521399626,1820.1485214376019,1822.3666326074622,1834.233416108115,1845.1394626561528,1863.354844499784,1875.5516846299854,1884.1802741468357,1889.011114885824,1885.838389149267,1893.1026595919313,1897.5107571388146,1909.7583180081897,1920.2287870133346,1933.3998341622932,1950.4272696301887,1965.925592107902,1977.6712461994794,1979.4971810538652,1981.0665462339136,1983.6269711477787,1984.0836327484503,1986.433566925271,1994.7160782734152,2014.471554887069,2033.7179103004264,2051.69115905908,2067.9392183130967,2081.5995027187464,2093.4595167318894,2099.6996530975434,2103.8935602177185,2104.5329654431257,2105.6084450452026,2107.010200803398,2117.5657736828207,2130.6023177951693,2145.94837374712,2159.170559477623,2176.443110152705,2189.057710206137,2199.633104905646,2208.9621520212586,2215.2477615963603,2216.4448954471673,2209.702796121886,2211.9646339810897,2216.397287544723,2224.301191369507,2229.721015323743,2240.557441686896,2253.372723466661,2268.1998266411592,2281.1179801954627,2292.544199766269,2293.922739619872,2296.6064373127106,2293.8441414328154,2299.977869599235,2302.702528139006,2310.2164231918837,2314.173104876268,2304.4068379341034,2296.045362842809,2292.6466544533673,2305.893527818064,2317.8736487832693,2331.8715005504805,2349.6057462136587,2366.910021474871,2377.2276553229303,2382.9754187446356,2392.959889029546,2415.119060459391,2452.323978471634,2493.6141203217467,2540.6611547755106,2593.6030001788486,2654.4528171960246,2713.3380349660747,2748.267336848232,2772.0138109629866,2790.1227268195867,2810.3325907055696,2840.629713860787,2875.7065684723702,2926.4365388207884,2975.2247330064106,3023.4079846471172,3062.6128723758434,3094.1136473478473,3101.996404499433,3094.4605513025226,3074.724631113565,3061.5353581697154,3052.480137988196,3057.236678137599,3079.509598765446,3115.5224183215187,3154.9728876929257,3185.039118488421,3205.1050487301945
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1970.9524887234297,1979.4493694058315,1987.3442096473923,2001.5500410513528,2013.3799511169373,2027.9486947145806,2038.5392193587875,2049.5209778334515,2052.128710175935,2057.342545104039,2055.828900804545,2062.481794628725,2069.071463293196,2079.871438026865,2084.2412642823933,2089.9152425683974,2105.63507198477,2124.2733084933748,2135.8559168339384,2135.483749183356,2136.573188434897,2128.1429272996575,2131.7253455281234,2125.996604528483,2145.4445184179995,2159.5294593378085,2183.072791784362,2197.200047009638,2207.307165075249,2217.7044763961735,2224.2909029015077,2229.1904692192766,2230.2381210545227,2226.985957916371,2232.870537718079,2234.850140771471,2245.4443924002567,2246.480624747696,2258.898097633092,2266.847183165801,2277.541108003,2283.815145525532,2289.650446848094,2292.111544029994,2294.836545277705,2298.368249580831,2304.3542091771424,2307.4091365878694,2309.829670589292,2317.0918300876247,2326.1995754170293,2334.6076474689926,2342.0697075691305,2349.236223825716,2358.154661837744,2362.719292877349,2367.180681422794,2367.6152975619802,2372.59936005008,2374.7656988080435,2386.9160467378715,2394.220659332966,2398.179083257226,2378.7319518827458,2360.318132146909,,,2365.550443007285,2381.2662043262744,2396.4189920836134,2412.1328397430193,2422.3028320011185,2434.502416531475,2448.80490698549,2471.279888729347,2493.615812056951,2525.049030095332,2574.335649257943,2650.0957749228432,,2823.219583962342,2871.9692317771555,2895.715618685817,2910.893565534206,2929.515897861469,2949.0696107541644,2978.733853802806,3009.946806606103,3042.0816526290337,3070.0727739577123,3093.3145732484277,3105.4692782411025,3099.292181310263,3084.317190550568,3070.7566455754627,3058.789351777774,3052.2223619586935,3051.4320239662084,3061.923434996332,3080.730121983327,3098.2236540389304,3120.2003187529526,3151.4010000691765
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2396.104863554279,2410.5980435452416,2433.114359428472,2456.729212734151,2478.4130464226673,2509.990873245993,2529.9453974613048,2541.17456288896,2554.936620987891,2564.1219000376423,2556.593337313836,2529.866375482333,2517.2754560642015,2520.1235328887924,2539.243280456739,2548.368352102713,2555.7127368219853,2569.2067370742816,2585.597221852636,2598.4220407057833,2601.2515428559864,2597.6764513745657,2596.48859205856,2582.6802752474305,2575.8428376029806,2565.1371484885167,2570.3977314384933,2580.289052930709,2598.216882292653,2615.3685584037844,2630.2786230864263,2641.8405873534043,2640.060905246728,2620.680843756119,2600.9287956618,2588.061559559531,2589.3629508360495,2589.2079347610065,2602.606923537426,2621.223581631378,2643.923940251736,2658.5068242801062,2669.9404994061515,2680.334065278123,2680.3309443715484,2671.887594297003,2656.031220097186,2641.1898237183023,2642.0719196616574,2655.7816438456603,2680.3935102579776,2699.2824285455076,2724.00602100911,2742.0321641011883,2765.678253173963,2780.868958416887,2795.9567825013232,2799.147296279319,2793.226915665893,2783.6926564722858,2784.320132544345,2796.056536798514,2813.059157278807,2806.117742500734,2785.696703373735,2754.232441152054,2729.5392276963107,2692.644052656119,2643.9031607659967,2597.533447793001,2565.418570980607,2541.148260626129,2536.2386944058376,2541.5020321300963,2570.2823650273394,2602.6166240334655,2641.9652383445427,2691.6702575336576,2747.047316634404,2804.462865036709,2855.8997320891567,2880.9864026166238,2902.7414615145894,2909.803652312853,2940.8326339016285,2980.1349987710705,3033.462915776494,3085.46975934221,3146.7364104464295,3216.337942122919,3279.671711328518,3322.7351172559706,3331.390382600037,3322.093379826384,3279.414743422959,3246.8798497426487,3233.8856799562136,3250.0704969595386,3268.4040560407975,3297.9385582860255,3336.693782626703,3383.604242099239,3415.584518775989
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1715.828438196407,1727.343546769489,1741.2383597147236,1752.730286354847,1764.406183592454,1772.0427470063717,1778.7206086078938,1785.8726448289399,1796.307494693806,1798.6693711708263,1803.0295414137054,1806.5504127622908,1815.8933425341309,1819.8572537820787,1821.3441557463318,1819.8147314950197,1820.8209554391165,1820.0736303585832,1820.2595242551374,1818.0403380668017,1817.6288457751052,1814.1862935330153,1811.6361307058799,1802.2769185314694,1807.3505939432155,1812.2734744431311,1825.3425308587532,1826.2472950801828,1829.5438390450386,1831.8547399697632,1834.7593767789251,1837.059391420345,1839.9466562139596,1844.8538156436048,1845.3007886177595,1845.3771079270427,1846.3849467097523,1851.5700237998046,1857.4021731129897,1863.3531014186328,1866.287775660744,1872.6527641608063,1877.8919416454676,1884.3905688382936,1887.888991921964,1889.7809922984868,1892.1925259296004,1895.8046544442914,1898.5766645964982,1899.4504019118438,1901.1372887738953,1906.0301699614731,1910.8769351739752,1914.7792099405146,1915.0140666469952,1919.0725087757467,1920.738786602552,1931.3956664348952,1941.5776994351947,1953.3006203240384,1958.533698158528,1960.975560144207,1960.5725697093742,1947.4844241614333,1933.6589119592347,1926.1428611865108,1928.4705050156374,1929.9572189630458,1926.9551720502852,1932.5151945814748,1949.8952552654923,1969.0407910728875,1997.1738837691846,2028.7167295737274,2068.537931073255,2107.194636424536,2159.4674675865317,,2298.6507404469276,2365.129858057327,2425.667497793568,2479.4910655954545,2526.72499303325,2584.51533479058,2640.833579789478,2711.7467725223437,2780.293264063795,2846.1608711536555,2897.679717601273,2925.143931847528,2947.689517426091,2957.529840652424,2969.4342444664007,2962.8525676684435,2960.43731500366,2955.8961541333465,2962.4444532375046,2973.4641999552023,2988.5620558668784,3005.671348671764,3010.017664331999,3007.221829704699,3005.427936711636
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1124.3326687117542,1127.5303805505714,1135.2537989333123,1148.5086418267213,1162.2136899163509,1171.5142931966052,1180.5302576814795,1183.034308003696,1185.1902218698237,1187.7491104675992,1193.4457812622986,1197.4096040543247,1199.032562942265,1203.6493135397877,1210.8526344158274,1221.5573628935106,1229.907742506989,1241.344807955869,1246.5188978217432,1249.1516139364774,1247.0519792861153,1244.929725889426,1248.0123793340924,1250.0695385423376,1264.4084462529165,1271.4973083912198,1285.7998614422625,1292.393990072312,1304.3683985401678,1309.403878008896,1314.5270157024713,1315.2050798699881,1316.2026256691338,1313.6480320666171,1320.2874478408596,1324.3772996311206,1329.8889974517783,1336.5102813205542,1339.8809718330024,1344.224033417767,1344.6184488512856,1356.5719983444199,1362.5557387404338,1367.6589752671803,1361.7635112345838,1365.1632908780355,1366.0728996776943,1370.044686555079,1373.3437022773094,1376.9919126222835,1386.5152611401927,1393.978849454427,1402.7516079583822,1414.0959270626477,1418.866542849756,1422.8293918221477,1422.2064910436802,1421.9900302756487,1417.801012793991,1411.5582072364834,1414.367866519964,1420.077191327073,1426.9981979329962,1426.193045161262,1422.670198619139,1420.3061732142621,1420.5590904087167,1423.2040477171345,1426.7977927253396,1431.8326067433711,1436.2853900898008,1440.0423434377558,1437.2144720865804,1440.5025318800674,1447.8236464160289,1470.811558088681,1498.9955532189367,1533.8018254327037,1568.8673576169422,1600.9798722622988,1627.1700835936142,1641.3516201010568,1652.1672781215648,1659.4619195217128,1674.8993709078875,1693.006241811486,1705.9121368499927,1727.327145955227,1751.553692273865,1791.087443001296,1815.6047509290272,1826.557802251177,1823.0401706842258,1810.60472568511,1796.9499655599361,1783.597152164188,1779.5121941154323,1782.3998203394774,1787.5118218271734,1794.3391629623263,1802.5910030975795,1815.3592950686184,1823.7905160537275
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1454.3340665091112,1458.5821280250714,1460.9748489624653,1468.312414165211,1473.7642643260367,1486.3606378146421,1495.6669057915772,1503.394976065263,1509.6358182174138,1517.0928422604395,1522.3458333279052,1527.3503169546195,1528.3589857812694,1535.8322121642632,1538.9493754347272,1547.4069392282145,1553.1999626629563,1555.601870237462,1559.886080175315,1565.3303634609017,1581.136598811123,1580.4028987685915,1588.963242143633,1584.6841215211102,1603.0796765364214,1610.673800728563,1625.4760147560683,1634.7837602461723,1642.9783026539944,1654.588694926778,1663.6175754672713,1676.7744601357317,1684.0995878656586,1691.4865572544127,1697.1701647764564,1700.6964929489982,1705.5041737662664,1713.3604140120756,1723.8083661692253,1730.1554652215002,1734.64156402246,1743.7528509216893,1753.2778819803907,1763.9953681803975,1775.0617054156367,1788.088778102223,1795.4327512867399,1801.822941835034,1804.2268029782456,1807.2070724211471,1812.2014329495455,1820.0875061177794,1830.4130761407646,1839.8469437892663,1848.2665361250467,1858.9636338949267,1866.1206435300694,1875.418469089968,1879.510961574708,1886.633527417733,1889.2993391470925,1896.0663844958235,1897.3113649992858,1890.8975940023586,1884.3714714877692,1889.3589706368684,1909.6643983863564,1944.634862574365,1977.0713463543304,2011.3378323473044,2040.6744631271965,2063.7458492484056,2083.9573047121035,2104.4923467310978,2133.5709704770925,2156.682048820748,2198.4440648267023,2240.6789514132583,2302.6680699327944,2348.276351641292,2393.661867635777,2415.1692749613017,2437.8951534798634,2444.7041301952772,2472.2658087328996,2483.0031411614154,2517.7948165550647,2535.622193283201,2560.1332056589245,2575.1603864263852,2593.7662887784786,2606.265042485212,2612.898334468775,2606.6455823337587,2601.5688257552415,2591.598413935189,2591.925731247245,2594.3412544893577,2597.400619405587,2604.378391243263,2607.9708071063465,2614.0221920796607,2614.707109225558
